# Misure esperimento Caduta Libera
# Data: 13 Dicembre 2019
# 
# 
#        Punto    Tempo(sec)   Altezza(m)   Incertezza(m)
# 
         0.0,         0.0,       502.1,         0.4
         1.0,         0.5,       497.9,         0.4
         2.0,         1.0,       490.3,         0.5
         3.0,         1.5,       479.1,         0.5
         4.0,         2.0,       461.2,         0.5
         5.0,         2.5,       439.3,         0.5
         6.0,         3.0,       411.1,         0.5
         7.0,         3.5,       379.0,         0.5
         8.0,         4.0,       342.0,         0.5
         9.0,         4.5,       302.8,         0.6
        10.0,         5.0,       252.7,         0.6
        11.0,         5.5,       204.3,         0.7
        12.0,         6.0,       147.6,         0.8
        13.0,         6.5,        85.5,         1.1
        14.0,         7.0,        19.6,         2.2
